Version;1
Sampling cycle;200us
Out count;1
Data count;89593
First index;6681978

;OUT02
Display unit;0,001um
Upper limit;500,000um
Lower limit;-500,000um

Trigger count;OUT02(um);
6682602;46,250;GO
6682603;46,250;GO
6682604;46,250;GO
6682605;46,250;GO
6682606;46,250;GO
6682607;46,250;GO
6682608;46,250;GO
6682609;46,250;GO
6682610;46,250;GO
6682611;46,250;GO
6682612;46,250;GO
6682613;46,250;GO
6682614;46,250;GO
6682615;46,250;GO
6682616;46,250;GO
6682617;46,250;GO
6682618;46,250;GO
6682619;46,250;GO
6682620;46,250;GO
6682621;46,250;GO
6682622;46,250;GO
6682623;46,250;GO
6682624;46,250;GO
6682625;46,250;GO
6682626;46,250;GO
6682627;46,250;GO
6682628;46,250;GO
6682629;46,250;GO
6682630;46,250;GO
6682631;46,250;GO
6682632;46,250;GO
6682633;46,250;GO
6682634;46,250;GO
6682635;46,250;GO
6682636;46,250;GO
6682637;46,250;GO
6682638;46,250;GO
6682639;46,250;GO
6682640;46,250;GO
6682641;46,250;GO
6682642;46,250;GO
6682643;46,250;GO
6682644;46,250;GO
6682645;46,250;GO
6682646;46,250;GO
6682647;46,250;GO
6682648;46,250;GO
6682649;46,250;GO
6682650;46,250;GO
6682651;46,250;GO
6682652;46,250;GO
6682653;46,250;GO
6682654;46,250;GO
6682655;46,250;GO
6682656;46,250;GO
6682657;46,250;GO
6682658;46,250;GO
6682659;46,250;GO
6682660;46,250;GO
6682661;46,250;GO
6682662;46,250;GO
6682663;46,250;GO
6682664;46,250;GO
6682665;46,250;GO
6682666;46,250;GO
6682667;46,250;GO
6682668;46,250;GO
6682669;46,250;GO
6682670;46,250;GO
6682671;46,250;GO
6682672;46,250;GO
6682673;46,250;GO
6682674;46,250;GO
6682675;46,250;GO
6682676;46,250;GO
6682677;46,250;GO
6682678;46,250;GO
6682679;46,250;GO
6682680;46,250;GO
6682681;46,250;GO
6682682;46,250;GO
6682683;46,250;GO
6682684;46,250;GO
6682685;46,250;GO
6682686;46,250;GO
6682687;46,250;GO
6682688;46,250;GO
6682689;46,250;GO
6682690;46,250;GO
6682691;46,250;GO
6682692;46,250;GO
6682693;46,250;GO
6682694;46,250;GO
6682695;46,250;GO
6682696;46,250;GO
6682697;46,250;GO
6682698;46,250;GO
6682699;46,250;GO
6682700;46,250;GO
6682701;46,250;GO
6682702;46,250;GO
6682703;46,250;GO
6682704;46,250;GO
6682705;46,250;GO
6682706;46,250;GO
6682707;46,250;GO
6682708;46,250;GO
6682709;46,250;GO
6682710;46,250;GO
6682711;46,250;GO
6682712;46,250;GO
6682713;46,250;GO
6682714;46,250;GO
6682715;46,250;GO
6682716;46,250;GO
6682717;46,250;GO
6682718;46,250;GO
6682719;46,250;GO
6682720;46,250;GO
6682721;46,250;GO
6682722;46,250;GO
6682723;46,250;GO
6682724;46,250;GO
6682725;46,250;GO
6682726;46,250;GO
6682727;46,250;GO
6682728;46,250;GO
6682729;46,250;GO
6682730;46,250;GO
6682731;46,250;GO
6682732;46,250;GO
6682733;46,250;GO
6682734;46,250;GO
6682735;46,250;GO
6682736;46,250;GO
6682737;46,250;GO
6682738;46,250;GO
6682739;46,250;GO
6682740;46,250;GO
6682741;46,250;GO
6682742;46,250;GO
6682743;46,250;GO
6682744;46,250;GO
6682745;46,250;GO
6682746;46,250;GO
6682747;46,250;GO
6682748;46,250;GO
6682749;46,250;GO
6682750;46,250;GO
6682751;46,250;GO
6682752;46,250;GO
6682753;46,250;GO
6682754;46,250;GO
6682755;46,250;GO
6682756;46,250;GO
6682757;46,250;GO
6682758;46,250;GO
6682759;46,250;GO
6682760;46,250;GO
6682761;46,250;GO
6682762;46,250;GO
6682763;46,250;GO
6682764;46,250;GO
6682765;46,250;GO
6682766;46,250;GO
6682767;46,250;GO
6682768;46,250;GO
6682769;46,250;GO
6682770;46,250;GO
6682771;46,250;GO
6682772;46,250;GO
6682773;46,250;GO
6682774;46,250;GO
6682775;46,250;GO
6682776;46,250;GO
6682777;46,250;GO
6682778;46,250;GO
6682779;46,250;GO
6682780;46,250;GO
6682781;46,250;GO
6682782;46,250;GO
6682783;46,250;GO
6682784;46,250;GO
6682785;46,250;GO
6682786;46,250;GO
6682787;46,250;GO
6682788;46,250;GO
6682789;46,250;GO
6682790;46,250;GO
6682791;46,250;GO
6682792;46,250;GO
6682793;46,250;GO
6682794;46,250;GO
6682795;46,250;GO
6682796;46,250;GO
6682797;46,250;GO
6682798;46,250;GO
6682799;46,250;GO
6682800;46,000;GO
6682801;46,000;GO
6682802;46,000;GO
6682803;46,000;GO
6682804;46,000;GO
6682805;46,000;GO
6682806;46,000;GO
6682807;46,000;GO
6682808;46,000;GO
6682809;46,000;GO
6682810;46,000;GO
6682811;46,000;GO
6682812;46,000;GO
6682813;46,000;GO
6682814;46,000;GO
6682815;46,000;GO
6682816;46,000;GO
6682817;46,000;GO
6682818;46,000;GO
6682819;46,000;GO
6682820;46,000;GO
6682821;46,000;GO
6682822;46,000;GO
6682823;46,000;GO
6682824;46,000;GO
6682825;46,000;GO
6682826;46,000;GO
6682827;46,000;GO
6682828;46,000;GO
6682829;46,000;GO
6682830;46,000;GO
6682831;46,000;GO
6682832;46,000;GO
6682833;46,000;GO
6682834;46,000;GO
6682835;46,000;GO
6682836;46,000;GO
6682837;46,000;GO
6682838;46,000;GO
6682839;46,000;GO
6682840;46,000;GO
6682841;46,000;GO
6682842;46,000;GO
6682843;46,000;GO
6682844;46,000;GO
6682845;46,000;GO
6682846;46,000;GO
6682847;46,000;GO
6682848;46,000;GO
6682849;46,000;GO
6682850;46,000;GO
6682851;46,000;GO
6682852;46,000;GO
6682853;46,000;GO
6682854;46,000;GO
6682855;46,000;GO
6682856;46,000;GO
6682857;46,000;GO
6682858;46,000;GO
6682859;46,000;GO
6682860;46,000;GO
6682861;46,000;GO
6682862;46,000;GO
6682863;46,000;GO
6682864;46,000;GO
6682865;46,000;GO
6682866;46,000;GO
6682867;46,000;GO
6682868;46,000;GO
6682869;46,000;GO
6682870;46,000;GO
6682871;46,000;GO
6682872;46,000;GO
6682873;46,000;GO
6682874;46,000;GO
6682875;46,000;GO
6682876;46,000;GO
6682877;46,000;GO
6682878;46,000;GO
6682879;46,000;GO
6682880;46,000;GO
6682881;46,000;GO
6682882;46,000;GO
6682883;46,000;GO
6682884;46,000;GO
6682885;46,000;GO
6682886;46,000;GO
6682887;46,000;GO
6682888;46,000;GO
6682889;46,000;GO
6682890;46,000;GO
6682891;46,000;GO
6682892;46,000;GO
6682893;46,000;GO
6682894;46,000;GO
6682895;46,000;GO
6682896;46,000;GO
6682897;46,000;GO
6682898;46,000;GO
6682899;46,000;GO
6682900;46,000;GO
6682901;46,000;GO
6682902;46,000;GO
6682903;46,000;GO
6682904;46,000;GO
6682905;46,000;GO
6682906;46,000;GO
6682907;46,000;GO
6682908;46,000;GO
6682909;46,000;GO
6682910;46,000;GO
6682911;46,000;GO
6682912;46,000;GO
6682913;46,000;GO
6682914;46,000;GO
6682915;46,000;GO
6682916;46,000;GO
6682917;46,000;GO
6682918;46,000;GO
6682919;46,000;GO
6682920;46,000;GO
6682921;46,000;GO
6682922;46,000;GO
6682923;46,000;GO
6682924;46,000;GO
6682925;46,000;GO
6682926;46,000;GO
6682927;46,000;GO
6682928;46,000;GO
6682929;46,000;GO
6682930;46,000;GO
6682931;46,000;GO
6682932;46,000;GO
6682933;46,000;GO
6682934;46,000;GO
6682935;46,000;GO
6682936;46,000;GO
6682937;46,000;GO
6682938;46,000;GO
6682939;46,000;GO
6682940;46,000;GO
6682941;46,000;GO
6682942;46,000;GO
6682943;46,000;GO
6682944;46,000;GO
6682945;46,000;GO
6682946;46,000;GO
6682947;46,000;GO
6682948;46,000;GO
6682949;46,000;GO
6682950;46,000;GO
6682951;46,000;GO
6682952;46,000;GO
6682953;46,000;GO
6682954;46,000;GO
6682955;46,000;GO
6682956;46,000;GO
6682957;46,000;GO
6682958;46,000;GO
6682959;46,000;GO
6682960;46,000;GO
6682961;46,000;GO
6682962;46,000;GO
6682963;46,000;GO
6682964;46,000;GO
6682965;46,000;GO
6682966;46,000;GO
6682967;46,000;GO
6682968;46,000;GO
6682969;46,000;GO
6682970;46,000;GO
6682971;46,000;GO
6682972;46,000;GO
6682973;46,000;GO
6682974;46,000;GO
6682975;46,000;GO
6682976;46,000;GO
6682977;46,000;GO
6682978;46,000;GO
6682979;46,000;GO
6682980;46,000;GO
6682981;46,000;GO
6682982;46,000;GO
6682983;46,000;GO
6682984;46,000;GO
6682985;46,000;GO
6682986;46,000;GO
6682987;46,000;GO
6682988;46,000;GO
6682989;46,000;GO
6682990;46,000;GO
6682991;46,000;GO
6682992;46,000;GO
6682993;46,000;GO
6682994;46,000;GO
6682995;46,000;GO
6682996;46,000;GO
6682997;46,000;GO
6682998;46,000;GO
6682999;46,000;GO
6683000;46,000;GO
6683001;46,000;GO
6683002;46,000;GO
6683003;46,000;GO
6683004;46,000;GO
6683005;46,000;GO
6683006;46,000;GO
6683007;46,000;GO
6683008;46,000;GO
6683009;46,000;GO
6683010;46,000;GO
6683011;46,000;GO
6683012;46,000;GO
6683013;46,000;GO
6683014;45,750;GO
6683015;45,750;GO
6683016;45,750;GO
6683017;45,750;GO
6683018;45,750;GO
6683019;45,750;GO
6683020;45,750;GO
6683021;45,750;GO
6683022;45,750;GO
6683023;45,750;GO
6683024;45,750;GO
6683025;45,750;GO
6683026;45,750;GO
6683027;45,750;GO
6683028;45,750;GO
6683029;45,750;GO
6683030;45,750;GO
6683031;45,750;GO
6683032;45,750;GO
6683033;45,750;GO
6683034;45,750;GO
6683035;45,750;GO
6683036;45,750;GO
6683037;45,750;GO
6683038;45,750;GO
6683039;45,750;GO
6683040;45,750;GO
6683041;45,750;GO
6683042;45,750;GO
6683043;45,750;GO
6683044;45,750;GO
6683045;45,750;GO
6683046;45,750;GO
6683047;45,750;GO
6683048;45,750;GO
6683049;45,750;GO
6683050;45,750;GO
6683051;45,750;GO
6683052;45,750;GO
6683053;45,750;GO
6683054;45,750;GO
6683055;45,750;GO
6683056;45,750;GO
6683057;45,750;GO
6683058;45,750;GO
6683059;45,750;GO
6683060;45,750;GO
6683061;45,750;GO
6683062;45,750;GO
6683063;45,750;GO
6683064;45,750;GO
6683065;45,750;GO
6683066;45,750;GO
6683067;45,750;GO
6683068;45,750;GO
6683069;45,750;GO
6683070;45,750;GO
6683071;45,750;GO
6683072;45,750;GO
6683073;45,750;GO
6683074;45,750;GO
6683075;45,750;GO
6683076;45,750;GO
6683077;45,750;GO
6683078;45,750;GO
6683079;45,750;GO
6683080;45,750;GO
6683081;45,750;GO
6683082;45,750;GO
6683083;45,750;GO
6683084;45,750;GO
6683085;45,750;GO
6683086;45,750;GO
6683087;45,750;GO
6683088;45,750;GO
6683089;45,750;GO
6683090;45,750;GO
6683091;45,750;GO
6683092;45,750;GO
6683093;45,750;GO
6683094;45,750;GO
6683095;45,750;GO
6683096;45,750;GO
6683097;45,750;GO
6683098;45,750;GO
6683099;45,750;GO
6683100;45,750;GO
6683101;45,750;GO
6683102;45,750;GO
6683103;45,750;GO
6683104;45,750;GO
6683105;45,750;GO
6683106;45,750;GO
6683107;45,750;GO
6683108;45,750;GO
6683109;45,750;GO
6683110;45,750;GO
6683111;45,750;GO
6683112;45,750;GO
6683113;45,750;GO
6683114;45,750;GO
6683115;45,750;GO
6683116;45,750;GO
6683117;45,750;GO
6683118;45,750;GO
6683119;45,750;GO
6683120;45,750;GO
6683121;45,750;GO
6683122;45,750;GO
6683123;45,750;GO
6683124;45,750;GO
6683125;45,750;GO
6683126;45,750;GO
6683127;45,750;GO
6683128;45,750;GO
6683129;45,750;GO
6683130;45,750;GO
6683131;45,750;GO
6683132;45,750;GO
6683133;45,750;GO
6683134;45,750;GO
6683135;45,750;GO
6683136;45,750;GO
6683137;45,750;GO
6683138;45,750;GO
6683139;45,750;GO
6683140;45,750;GO
6683141;45,750;GO
6683142;45,750;GO
6683143;45,750;GO
6683144;45,750;GO
6683145;45,750;GO
6683146;45,750;GO
6683147;45,750;GO
6683148;45,750;GO
6683149;45,750;GO
6683150;45,750;GO
6683151;45,750;GO
6683152;45,750;GO
6683153;45,750;GO
6683154;45,750;GO
6683155;45,750;GO
6683156;45,750;GO
6683157;45,750;GO
6683158;45,750;GO
6683159;45,750;GO
6683160;45,750;GO
6683161;45,750;GO
6683162;45,750;GO
6683163;45,750;GO
6683164;45,750;GO
6683165;45,750;GO
6683166;45,750;GO
6683167;45,750;GO
6683168;45,750;GO
6683169;45,750;GO
6683170;45,750;GO
6683171;45,750;GO
6683172;45,750;GO
6683173;45,750;GO
6683174;45,750;GO
6683175;45,750;GO
6683176;45,750;GO
6683177;45,750;GO
6683178;45,750;GO
6683179;45,750;GO
6683180;45,750;GO
6683181;45,750;GO
6683182;45,750;GO
6683183;45,750;GO
6683184;45,750;GO
6683185;45,750;GO
6683186;45,750;GO
6683187;45,750;GO
6683188;45,750;GO
6683189;45,750;GO
6683190;45,750;GO
6683191;45,750;GO
6683192;45,750;GO
6683193;45,750;GO
6683194;45,750;GO
6683195;45,750;GO
6683196;45,750;GO
6683197;45,750;GO
6683198;45,750;GO
6683199;45,750;GO
