Version;1
Sampling cycle;200us
Out count;1
Data count;89421
First index;995806

;OUT02
Display unit;0,001um
Upper limit;500,000um
Lower limit;-500,000um

Trigger count;OUT02(um);
996924;2,750;GO
996925;2,750;GO
996926;2,750;GO
996927;2,750;GO
996928;2,750;GO
996929;2,750;GO
996930;2,750;GO
996931;2,750;GO
996932;2,750;GO
996933;2,750;GO
996934;2,750;GO
996935;2,750;GO
996936;2,750;GO
996937;2,750;GO
996938;2,750;GO
996939;2,750;GO
996940;2,750;GO
996941;2,750;GO
996942;2,750;GO
996943;2,750;GO
996944;2,750;GO
996945;2,750;GO
996946;2,750;GO
996947;2,750;GO
996948;2,750;GO
996949;2,750;GO
996950;2,750;GO
996951;2,750;GO
996952;2,750;GO
996953;2,750;GO
996954;2,750;GO
996955;2,750;GO
996956;2,750;GO
996957;2,750;GO
996958;2,750;GO
996959;2,750;GO
996960;2,750;GO
996961;2,750;GO
996962;2,750;GO
996963;2,750;GO
996964;2,750;GO
996965;2,750;GO
996966;2,750;GO
996967;2,750;GO
996968;2,750;GO
996969;2,750;GO
996970;2,750;GO
996971;2,750;GO
996972;2,750;GO
996973;2,750;GO
996974;2,750;GO
996975;2,750;GO
996976;2,750;GO
996977;2,750;GO
996978;2,750;GO
996979;2,750;GO
996980;2,750;GO
996981;2,750;GO
996982;2,750;GO
996983;2,750;GO
996984;2,750;GO
996985;2,750;GO
996986;2,750;GO
996987;2,750;GO
996988;2,750;GO
996989;2,750;GO
996990;2,750;GO
996991;2,750;GO
996992;2,750;GO
996993;2,750;GO
996994;2,750;GO
996995;2,750;GO
996996;2,750;GO
996997;2,750;GO
996998;2,750;GO
996999;2,750;GO
997000;2,750;GO
997001;2,750;GO
997002;2,750;GO
997003;2,750;GO
997004;2,750;GO
997005;2,750;GO
997006;2,750;GO
997007;2,750;GO
997008;2,750;GO
997009;2,750;GO
997010;2,750;GO
997011;2,750;GO
997012;2,750;GO
997013;2,750;GO
997014;2,750;GO
997015;2,750;GO
